Premium,Price,Address,Beds,Baths,Sq_ft,Year_built,Price_index,Sq_ft_index,Year_built_index,Zipcode,Neighborhood,Fire_index,High_risk_index,Medium_risk_index,Low_risk_index
"$1,727.30","$195,000.00","83 Mcallister Street #404, San Francisco,  CA 94102",,1,263.0,2007.0,-0.7039823570604835,-1.0893347469172223,0.7964326088348,94102,Tenderloin,4.192041734717132,3.79,4.58,4.58
"$1,122.29","$213,389.00","1220 La Playa Street #308, San Francisco,  CA 94122",2.0,1,854.0,1961.0,-0.6969674236447396,-0.6244664635462032,-0.2458405065677805,94122,Sunset/Parkside,0.2417474966113515,0.13,0.42,0.31
"$1,170.95","$219,000.00","4800 3rd Street #201, San Francisco,  CA 94124",1.0,1,712.0,2009.0,-0.6948269705806394,-0.7361607042207966,0.8417488312436079,94124,Bayview Hunters Point,0.5290416230190447,-0.45,-0.54,-0.28
"$1,790.30","$289,935.00","555 Fulton Street #322, San Francisco,  CA 94102",1.0,1,640.0,2020.0,-0.6677670814161503,-0.7927944037177735,1.090988054492051,94102,Tenderloin,4.192041734717132,3.79,4.58,4.58
"$1,522.83","$299,000.00","1075 Market Street #503, San Francisco,  CA 94103",,1,445.0,2018.0,-0.6643090156478257,-0.9461773398554196,1.0456718320832432,94103,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,766.30","$317,175.00","31 Page Street #502, San Francisco,  CA 94102",1.0,1,506.0,2014.0,-0.6573757177615273,-0.8981960111149251,0.9550393872656274,94102,Tenderloin,4.192041734717132,3.79,4.58,4.58
"$1,056.91","$323,919.00","1914 Pine Street #5, San Francisco,  CA 94109",1.0,1,1180.0,1906.0,-0.6548030541606911,-0.3680416574904463,-1.4920366228099964,94109,Nob Hill,0.8522475152276994,0.32,0.06,0.35
"$1,269.91","$331,448.00","1450 Franklin Street #403, San Francisco,  CA 94109",1.0,1,691.0,2017.0,-0.6519309331270766,-0.7526788665740816,1.0230137208788392,94109,Nob Hill,0.8522475152276994,0.32,0.06,0.35
"$1,163.95","$355,000.00","4800 3rd Street #402, San Francisco,  CA 94124",1.0,1,561.0,2009.0,-0.6429464471948563,-0.8549341573325121,0.8417488312436079,94124,Bayview Hunters Point,0.5290416230190447,-0.45,-0.54,-0.28
"$1,339.83","$361,677.00","74 New Montgomery Street #317, San Francisco,  CA 94105",2.0,2,1089.0,1914.0,-0.6403993423812763,-0.4396203610213477,-1.310771733174765,94105,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,060.91","$369,000.00","631 Ofarrell Street #1412, San Francisco,  CA 94109",,1,520.0,1930.0,-0.6376058050816139,-0.8871839028794019,-0.9482419539043022,94109,Nob Hill,0.8522475152276994,0.32,0.06,0.35
"$1,532.83","$375,000.00","1578 Indiana Street #11, San Francisco,  CA 94107",1.0,1F11/2,962.0,2003.0,-0.6353169584616528,-0.5395159143007376,0.7058001640171843,94107,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,698.30","$388,000.00","601 Van Ness Avenue #108, San Francisco,  CA 94102",,1,518.0,1982.0,-0.6303577907850707,-0.8887570611987623,0.2299798287247019,94102,Tenderloin,4.192041734717132,3.79,4.58,4.58
"$1,265.91","$392,398.00","719 Larkin Street #502, San Francisco,  CA 94109",1.0,1,545.0,2019.0,-0.6286800662126393,-0.8675194238873959,1.0683299432876472,94109,Nob Hill,0.8522475152276994,0.32,0.06,0.35
"$1,253.91","$395,000.00","1238 Sutter Street #303, San Francisco,  CA 94109",1.0,1,420.0,2018.0,-0.6276874697284495,-0.9658418188474254,1.0456718320832432,94109,Nob Hill,0.8522475152276994,0.32,0.06,0.35
"$1,528.83","$395,000.00","199 New Montgomery Street #408, San Francisco,  CA 94105",1.0,1,872.0,2004.0,-0.6276874697284495,-0.6103080386719588,0.7284582752215882,94105,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,546.83","$396,000.00","280 Spear Street #10H, San Francisco,  CA 94105",1.0,1,669.0,2019.0,-0.6273059952917893,-0.7699836080870467,1.0683299432876472,94105,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,205.95","$396,989.00","4800 3rd Street #406, San Francisco,  CA 94124",2.0,1F11/2,1073.0,2009.0,-0.6269287170739324,-0.4522056275762315,0.8417488312436079,94124,Bayview Hunters Point,0.5290416230190447,-0.45,-0.54,-0.28
"$1,196.95","$416,000.00","52 Kirkwood Avenue #403, San Francisco,  CA 94124",,1,552.0,2023.0,-0.6196765065585859,-0.8620133697696343,1.1589623881052629,94124,Bayview Hunters Point,0.5290416230190447,-0.45,-0.54,-0.28
"$1,556.83","$425,198.00","1400 Mission Street #804, San Francisco,  CA 94103",2.0,2,904.0,2015.0,-0.6161677046901857,-0.5851375055621914,0.9776974984700314,94103,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,509.83","$430,585.00","888 7th Street #143, San Francisco,  CA 94107",1.0,1,535.0,2007.0,-0.6141127018998973,-0.8753852154841982,0.7964326088348,94107,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,522.83","$437,361.00","451 Kansas Street #416, San Francisco,  CA 94107",1.0,1,693.0,2007.0,-0.611527831117088,-0.751105708254721,0.7964326088348,94107,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,524.83","$438,053.00","301 Bryant Street #D23, San Francisco,  CA 94107",1.0,1,974.0,1998.0,-0.6112638508069191,-0.5300769643845749,0.5925096079951647,94107,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,532.83","$444,900.00","1075 Market Street #507, San Francisco,  CA 94103",1.0,1,500.0,2018.0,-0.608651895339107,-0.9029154860730064,1.0456718320832432,94103,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,505.83","$448,888.00","855 Folsom Street #316, San Francisco,  CA 94107",1.0,1,642.0,2001.0,-0.6071305752857062,-0.7912212453984131,0.6604839416083764,94107,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,527.83","$449,400.00","270 Valencia Street #201, San Francisco,  CA 94103",2.0,1,816.0,2005.0,-0.6069352603741363,-0.6543564716140521,0.7511163864259922,94103,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,397.23","$450,000.00","1 Horace Street, San Francisco,  CA 94110",2.0,1,400.0,1937.0,-0.6067063757121401,-0.98157340204103,-0.7896351754734747,94110,Mission,2.3605416788680884,3.6,2.26,2.44
"$1,562.83","$450,799.00","280 Spear Street #26B, San Francisco,  CA 94105",2.0,1,827.0,2020.0,-0.6064015776372487,-0.6457041008575695,1.090988054492051,94105,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,210.95","$453,288.00","1740 Bancroft Avenue #352, San Francisco,  CA 94124",2.0,1,1117.0,2009.0,-0.6054520877644015,-0.4175961445503011,0.8417488312436079,94124,Bayview Hunters Point,0.5290416230190447,-0.45,-0.54,-0.28
"$1,057.58","$461,161.00","60 Ora Way #208H, San Francisco,  CA 94131",1.0,1,684.0,1975.0,-0.602448739524576,-0.7581849206918432,0.0713730502938744,94131,West of Twin Peaks,-0.5483113510098047,-0.37,-0.32,-0.29
"$1,056.58","$464,296.00","85 Ora Way #E207, San Francisco,  CA 94131",1.0,1,676.0,1975.0,-0.6012528171656464,-0.7644775539692851,0.0713730502938744,94131,West of Twin Peaks,-0.5483113510098047,-0.37,-0.32,-0.29
"$1,194.15","$465,000.00","335 Berry Street #108, San Francisco,  CA 94158",2.0,2,992.0,2009.0,-0.6009842591622375,-0.5159185395103306,0.8417488312436079,94158,Mission Bay,-0.2969289904030731,0.02,-0.31,0.03
"$1,511.83","$495,000.00","855 Folsom Street #701, San Francisco,  CA 94107",1.0,1,701.0,2001.0,-0.5895400260624325,-0.7448130749772791,0.6604839416083764,94107,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,059.91","$497,000.00","2415 Van Ness Avenue #205, San Francisco,  CA 94109",1.0,1,558.0,1926.0,-0.5887770771891121,-0.8572938948115528,-1.0388743987219178,94109,Nob Hill,0.8522475152276994,0.32,0.06,0.35
"$1,495.83","$499,000.00","199 New Montgomery Street #503, San Francisco,  CA 94105",,1,409.0,2004.0,-0.5880141283157918,-0.974494189603908,0.7284582752215882,94105,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,044.58","$499,000.00","175 Red Rock Way #107K, San Francisco,  CA 94131",,1,592.0,1972.0,-0.5880141283157918,-0.8305502033824248,0.0033987166806626,94131,West of Twin Peaks,-0.5483113510098047,-0.37,-0.32,-0.29
"$1,049.58","$499,000.00","135 Red Rock Way #105L, San Francisco,  CA 94131",,1,650.0,1972.0,-0.5880141283157918,-0.7849286121209712,0.0033987166806626,94131,West of Twin Peaks,-0.5483113510098047,-0.37,-0.32,-0.29
"$1,092.32","$499,900.00","1177 California Street #1403, San Francisco,  CA 94108",,1,411.0,1978.0,-0.5876708013227976,-0.9729210312845474,0.1393473839070862,94108,Chinatown,-0.0455466297963416,-0.09,-0.09,-0.02
"$1,035.58","$500,000.00","95 Red Rock Way #209M, San Francisco,  CA 94131",,1,474.0,1972.0,-0.5876326538791317,-0.9233665442246928,0.0033987166806626,94131,West of Twin Peaks,-0.5483113510098047,-0.37,-0.32,-0.29
"$1,215.95","$509,000.00","52 Kirkwood Avenue #307, San Francisco,  CA 94124",,1,741.0,2023.0,-0.5841993839491901,-0.7133499085900697,1.1589623881052629,94124,Bayview Hunters Point,0.5290416230190447,-0.45,-0.54,-0.28
"$1,146.99","$524,078.00","501 Crescent Way #5303, San Francisco,  CA 94134",2.0,2,1166.0,2007.0,-0.578447512393228,-0.3790537657259696,0.7964326088348,94134,Portola,-0.5842231168107662,-0.53,-0.66,-0.55
"$1,513.83","$525,000.00","260 King Street #761, San Francisco,  CA 94107",1.0,1,618.0,2004.0,-0.5780957929626274,-0.8100991452307387,0.7284582752215882,94107,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,718.30","$525,000.00","601 Van Ness Avenue #1029, San Francisco,  CA 94102",1.0,1,706.0,1982.0,-0.5780957929626274,-0.7408801791788779,0.2299798287247019,94102,Tenderloin,4.192041734717132,3.79,4.58,4.58
"$1,505.83","$530,000.00","140 South Van Ness Avenue #1037, San Francisco,  CA 94103",,1,575.0,2002.0,-0.5761884207793265,-0.8439220490969889,0.6831420528127804,94103,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,772.30","$538,000.00","650 Turk Street #204, San Francisco,  CA 94102",1.0,1,643.0,2008.0,-0.5731366252860451,-0.7904346662387328,0.8190907200392039,94102,Tenderloin,4.192041734717132,3.79,4.58,4.58
"$1,719.30","$549,000.00","601 Van Ness Avenue #809, San Francisco,  CA 94102",1.0,1,706.0,1982.0,-0.5689404064827833,-0.7408801791788779,0.2299798287247019,94102,Tenderloin,4.192041734717132,3.79,4.58,4.58
"$1,534.83","$549,900.00","1160 Mission Street #2209, San Francisco,  CA 94103",1.0,1,764.0,2008.0,-0.5685970794897891,-0.6952585879174243,0.8190907200392039,94103,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,497.83","$550,000.00","199 New Montgomery Street #1011, San Francisco,  CA 94105",,1,412.0,2004.0,-0.5685589320461231,-0.9721344521248672,0.7284582752215882,94105,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,299.83","$550,000.00","74 New Montgomery Street #209, San Francisco,  CA 94105",,1,480.0,1914.0,-0.5685589320461231,-0.9186470692666112,-1.310771733174765,94105,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,488.83","$550,000.00","403 Main Street #505N, San Francisco,  CA 94105",1.0,1,493.0,1997.0,-0.5685589320461231,-0.9084215401907682,0.5698514967907607,94105,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,532.83","$550,000.00","870 Harrison Street #303, San Francisco,  CA 94107",1.0,1,531.0,2015.0,-0.5685589320461231,-0.8785315321229192,0.9776974984700314,94107,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,549.83","$550,000.00","1288 Howard Street #313, San Francisco,  CA 94103",1.0,1,547.0,2022.0,-0.5685589320461231,-0.8659462655680354,1.136304276900859,94103,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,145.71","$555,000.00","1 Bristol Court #201, San Francisco,  CA 94130",,1,677.0,2022.0,-0.5666515598628222,-0.7636909748096048,1.136304276900859,94130,Treasure Island,-0.7637819458155745,-0.4,-0.56,-0.43
"$1,498.83","$575,000.00","199 New Montgomery Street #1411, San Francisco,  CA 94105",,1,412.0,2004.0,-0.5590220711296189,-0.9721344521248672,0.7284582752215882,94105,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,494.83","$575,000.00","219 Brannan Street #3E, San Francisco,  CA 94107",1.0,1,476.0,2000.0,-0.5590220711296189,-0.9217933859053322,0.6378258304039726,94107,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,538.83","$575,000.00","788 Minna Street #301, San Francisco,  CA 94103",1.0,1,710.0,2011.0,-0.5590220711296189,-0.737733862540157,0.8870650536524157,94103,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,122.99","$575,000.00","401 Crescent Court #4101, San Francisco,  CA 94134",1.0,1,834.0,2007.0,-0.5590220711296189,-0.6401980467398078,0.7964326088348,94134,Portola,-0.5842231168107662,-0.53,-0.66,-0.55
"$1,221.95","$578,800.00","52 Kirkwood Avenue #101, San Francisco,  CA 94124",1.0,1F11/2,789.0,2023.0,-0.5575724682703103,-0.6755941089254184,1.1589623881052629,94124,Bayview Hunters Point,0.5290416230190447,-0.45,-0.54,-0.28
"$1,515.83","$579,000.00","260 King Street #961, San Francisco,  CA 94107",1.0,1,618.0,2004.0,-0.5574961733829782,-0.8100991452307387,0.7284582752215882,94107,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,537.83","$585,000.00","788 Minna Street #501, San Francisco,  CA 94103",1.0,1,702.0,2011.0,-0.5552073267630172,-0.7440264958175989,0.8870650536524157,94103,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,518.83","$585,000.00","322 6th Street #3, San Francisco,  CA 94103",,1F11/2,750.0,2001.0,-0.5552073267630172,-0.7062706961529476,0.6604839416083764,94103,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,553.83","$589,000.00","588 Minna Street #506, San Francisco,  CA 94103",1.0,1,644.0,2020.0,-0.5536814290163765,-0.7896480870790525,1.090988054492051,94103,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,535.83","$589,000.00","1160 Mission Street #710, San Francisco,  CA 94103",1.0,1,755.0,2008.0,-0.5536814290163765,-0.7023378003545464,0.8190907200392039,94103,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,121.99","$589,862.00","1 Crescent Way #1201, San Francisco,  CA 94134",2.0,2,984.0,2001.0,-0.5533525980519755,-0.5222111727877725,0.6604839416083764,94134,Portola,-0.5842231168107662,-0.53,-0.66,-0.55
"$1,206.91","$598,000.00","1 Daniel Burnham Court #617, San Francisco,  CA 94109",,1,586.0,1988.0,-0.550248159086435,-0.8352696783405062,0.3659284959511254,94109,Nob Hill,0.8522475152276994,0.32,0.06,0.35
"$1,154.91","$598,000.00","1001 Pine Street #506, San Francisco,  CA 94109",1.0,1,650.0,1963.0,-0.550248159086435,-0.7849286121209712,-0.2005242841589726,94109,Nob Hill,0.8522475152276994,0.32,0.06,0.35
"$1,494.83","$598,000.00","469 Clementina Street #19, San Francisco,  CA 94103",1.0,1,658.0,1993.0,-0.550248159086435,-0.7786359788435293,0.479219051973145,94103,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,218.95","$598,800.00","52 Kirkwood Avenue #317, San Francisco,  CA 94124",1.0,1,741.0,2023.0,-0.5499429795371068,-0.7133499085900697,1.1589623881052629,94124,Bayview Hunters Point,0.5290416230190447,-0.45,-0.54,-0.28
"$1,190.12","$599,000.00","529 Broderick Street #A, San Francisco,  CA 94117",,1,472.0,2004.0,-0.5498666846497748,-0.9249397025440532,0.7284582752215882,94117,Hayes Valley,0.7804239836257761,-0.4,0.07,-0.1
"$1,542.83","$599,000.00","2177 3rd Street #713, San Francisco,  CA 94107",,1,502.0,2020.0,-0.5498666846497748,-0.901342327753646,1.090988054492051,94107,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,069.91","$599,000.00","2701 Van Ness Avenue #403, San Francisco,  CA 94109",,1,551.0,1929.0,-0.5498666846497748,-0.8627999489293144,-0.970900065108706,94109,Nob Hill,0.8522475152276994,0.32,0.06,0.35
"$1,273.58","$599,000.00","240 Lombard Street #227, San Francisco,  CA 94111",1.0,1,586.0,1993.0,-0.5498666846497748,-0.8352696783405062,0.479219051973145,94111,Financial District/South Beach,1.1395416416353925,0.57,0.92,0.65
"$1,774.30","$599,000.00","650 Turk Street #805, San Francisco,  CA 94102",1.0,1,643.0,2008.0,-0.5498666846497748,-0.7904346662387328,0.8190907200392039,94102,Tenderloin,4.192041734717132,3.79,4.58,4.58
"$1,277.58","$599,000.00","240 Lombard Street #738, San Francisco,  CA 94111",1.0,1,644.0,1993.0,-0.5498666846497748,-0.7896480870790525,0.479219051973145,94111,Financial District/South Beach,1.1395416416353925,0.57,0.92,0.65
"$1,779.30","$599,000.00","650 Turk Street #402, San Francisco,  CA 94102",1.0,1,706.0,2008.0,-0.5498666846497748,-0.7408801791788779,0.8190907200392039,94102,Tenderloin,4.192041734717132,3.79,4.58,4.58
"$1,109.82","$599,000.00","5853 Mission Street #1, San Francisco,  CA 94112",2.0,1,835.0,1980.0,-0.5498666846497748,-0.6394114675801276,0.184663606315894,94112,Excelsior,-0.0455466297963416,-0.34,-0.38,-0.35
"$1,529.83","$599,000.00","140 South Van Ness Avenue #735, San Francisco,  CA 94103",1.0,1F11/2,845.0,2002.0,-0.5498666846497748,-0.6315456759833252,0.6831420528127804,94103,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,538.83","$599,000.00","155 Harriet Street #3, San Francisco,  CA 94103",1.0,1F11/2,988.0,2001.0,-0.5498666846497748,-0.5190648561490515,0.6604839416083764,94103,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,203.95","$615,000.00","51 Innes Court #307, San Francisco,  CA 94124",1.0,1,720.0,2017.0,-0.5437630936632121,-0.7298680709433547,1.0230137208788392,94124,Bayview Hunters Point,0.5290416230190447,-0.45,-0.54,-0.28
"$1,279.91","$618,000.00","832 Sutter Street #604, San Francisco,  CA 94109",1.0,1,702.0,2016.0,-0.5426186703532315,-0.7440264958175989,1.0003556096744353,94109,Nob Hill,0.8522475152276994,0.32,0.06,0.35
"$1,525.83","$620,000.00","555 4th Street #728, San Francisco,  CA 94107",1.0,1,671.0,2006.0,-0.5418557214799112,-0.7684104497676862,0.7737744976303961,94107,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,545.83","$629,000.00","88 Arkansas Street #118, San Francisco,  CA 94107",,1,465.0,2022.0,-0.5384224515499697,-0.9304457566618148,1.136304276900859,94107,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,554.83","$629,000.00","88 Arkansas Street #421, San Francisco,  CA 94107",1.0,1,574.0,2022.0,-0.5384224515499697,-0.844708628256669,1.136304276900859,94107,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,500.83","$648,000.00","300 3rd Street #508, San Francisco,  CA 94107",1.0,1,807.0,1990.0,-0.5311744372534265,-0.6614356840511741,0.4112447183599333,94107,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,747.30","$648,888.00","601 Van Ness Avenue #70, San Francisco,  CA 94102",2.0,2,1016.0,1982.0,-0.5308356879536722,-0.4970406396780049,0.2299798287247019,94102,Tenderloin,4.192041734717132,3.79,4.58,4.58
"$1,567.83","$649,000.00","588 Minna Street #302, San Francisco,  CA 94103",1.0,1,786.0,2020.0,-0.5307929628167662,-0.6779538464044591,1.090988054492051,94103,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,744.30","$649,000.00","601 Van Ness Avenue #64, San Francisco,  CA 94102",2.0,2,977.0,1982.0,-0.5307929628167662,-0.5277172269055341,0.2299798287247019,94102,Tenderloin,4.192041734717132,3.79,4.58,4.58
"$1,752.30","$649,000.00","601 Van Ness Avenue #125, San Francisco,  CA 94102",2.0,2,1077.0,1982.0,-0.5307929628167662,-0.4490593109375105,0.2299798287247019,94102,Tenderloin,4.192041734717132,3.79,4.58,4.58
"$1,079.32","$650,000.00","10 Miller Place #702, San Francisco,  CA 94108",1.0,1,600.0,1963.0,-0.5304114883801061,-0.8242575701049829,-0.2005242841589726,94108,Chinatown,-0.0455466297963416,-0.09,-0.09,-0.02
"$1,032.95","$650,000.00","2015 Carroll Avenue, San Francisco,  CA 94124",2.0,1,775.0,1939.0,-0.5304114883801061,-0.6866062171609417,-0.7443189530646669,94124,Bayview Hunters Point,0.5290416230190447,-0.45,-0.54,-0.28
"$1,295.58","$664,888.00","240 Lombard Street #839, San Francisco,  CA 94111",1.0,1,840.0,1993.0,-0.5247320969671095,-0.6354785717817264,0.479219051973145,94111,Financial District/South Beach,1.1395416416353925,0.57,0.92,0.65
"$1,502.83","$668,000.00","38 Bryant Street #101, San Francisco,  CA 94105",1.0,1,707.0,1994.0,-0.523544948520223,-0.7400936000191978,0.5018771631775489,94105,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,524.83","$668,500.00","260 King Street #731, San Francisco,  CA 94107",1.0,1,693.0,2004.0,-0.523354211301893,-0.751105708254721,0.7284582752215882,94107,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,517.83","$675,000.00","135 Valencia Street #A208, San Francisco,  CA 94103",2.0,1,798.0,1997.0,-0.5208746274636019,-0.6685148964882963,0.5698514967907607,94103,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,220.91","$689,000.00","1 Daniel Burnham Court #905, San Francisco,  CA 94109",1.0,1,725.0,1988.0,-0.5155339853503594,-0.7259351751449535,0.3659284959511254,94109,Nob Hill,0.8522475152276994,0.32,0.06,0.35
"$1,484.23","$695,000.00","619 Shotwell Street #2, San Francisco,  CA 94110",2.0,1,637.0,1963.0,-0.5132451387303985,-0.7951541411968143,-0.2005242841589726,94110,Mission,2.3605416788680884,3.6,2.26,2.44
"$1,560.83","$698,000.00","140 Pennsylvania Avenue #203, San Francisco,  CA 94107",1.0,1,761.0,2017.0,-0.5121007154204179,-0.6976183253964651,1.0230137208788392,94107,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,297.58","$699,000.00","240 Lombard Street #939, San Francisco,  CA 94111",1.0,1,840.0,1993.0,-0.5117192409837578,-0.6354785717817264,0.479219051973145,94111,Financial District/South Beach,1.1395416416353925,0.57,0.92,0.65
"$1,540.83","$699,000.00","239 8th Street #3, San Francisco,  CA 94103",1.0,2,912.0,2003.0,-0.5117192409837578,-0.5788448722847495,0.7058001640171843,94103,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,227.95","$699,000.00","451 Donahue Street #502, San Francisco,  CA 94124",2.0,2,1011.0,2016.0,-0.5117192409837578,-0.5009735354764061,1.0003556096744353,94124,Bayview Hunters Point,0.5290416230190447,-0.45,-0.54,-0.28
"$1,007.95","$699,000.00","2025 Keith Street, San Francisco,  CA 94124",2.0,2F11/2,1260.0,1910.0,-0.5117192409837578,-0.3051153247160275,-1.4014041779923807,94124,Bayview Hunters Point,0.5290416230190447,-0.45,-0.54,-0.28
"$1,130.32","$700,000.00","1177 California Street #1215, San Francisco,  CA 94108",1.0,1,795.0,1978.0,-0.5113377665470976,-0.670874633967337,0.1393473839070862,94108,Chinatown,-0.0455466297963416,-0.09,-0.09,-0.02
"$1,236.91","$709,000.00","1483 Sutter Street #522, San Francisco,  CA 94109",1.0,1,780.0,1993.0,-0.5079044966171561,-0.6826733213625406,0.479219051973145,94109,Nob Hill,0.8522475152276994,0.32,0.06,0.35
$950.82,"$719,917.00","566 Athens Street, San Francisco,  CA 94112",2.0,1,600.0,1916.0,-0.503739940192137,-0.8242575701049829,-1.265455510765957,94112,Excelsior,-0.0455466297963416,-0.34,-0.38,-0.35
"$1,158.07","$742,000.00","3981 Alemany Boulevard #311, San Francisco,  CA 94132",2.0,2,973.0,2002.0,-0.4953158402073704,-0.530863543544255,0.6831420528127804,94132,Lakeshore,-0.4405760536069197,-0.34,-0.33,-0.3
"$1,169.71","$745,000.00","1 Bristol Court #411, San Francisco,  CA 94130",1.0,1,898.0,2022.0,-0.4941714168973899,-0.5898569805202727,1.136304276900859,94130,Treasure Island,-0.7637819458155745,-0.4,-0.56,-0.43
"$1,811.30","$749,000.00","555 Fulton Street #518, San Francisco,  CA 94102",1.0,1,691.0,2020.0,-0.4926455191507493,-0.7526788665740816,1.090988054492051,94102,Tenderloin,4.192041734717132,3.79,4.58,4.58
"$1,814.30","$749,000.00","555 Fulton Street #427, San Francisco,  CA 94102",1.0,1,728.0,2020.0,-0.4926455191507493,-0.7235754376659128,1.090988054492051,94102,Tenderloin,4.192041734717132,3.79,4.58,4.58
"$1,153.32","$749,888.00","1177 California Street #1012, San Francisco,  CA 94108",1.0,1,1056.0,1978.0,-0.492306769850995,-0.4655774732907955,0.1393473839070862,94108,Chinatown,-0.0455466297963416,-0.09,-0.09,-0.02
"$1,156.63","$750,000.00","2001 Mcallister Street #113, San Francisco,  CA 94118",1.0,1,659.0,2002.0,-0.4922640447140891,-0.777849399683849,0.6831420528127804,94118,Lone Mountain/USF,-0.0814583955973032,-0.31,-0.23,-0.29
"$1,222.91","$750,000.00","1 Daniel Burnham Court #816, San Francisco,  CA 94109",1.0,1F11/2,716.0,1988.0,-0.4922640447140891,-0.7330143875820756,0.3659284959511254,94109,Nob Hill,0.8522475152276994,0.32,0.06,0.35
"$1,537.83","$750,000.00","501 Beale Street #16E, San Francisco,  CA 94105",1.0,1,759.0,2006.0,-0.4922640447140891,-0.6991914837158255,0.7737744976303961,94105,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,530.83","$755,000.00","270 Valencia Street #302, San Francisco,  CA 94103",1.0,1,694.0,2005.0,-0.4903566725307882,-0.7503191290950408,0.7511163864259922,94103,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,239.91","$758,000.00","1650 Jackson Street #707, San Francisco,  CA 94109",1.0,1,845.0,1991.0,-0.4892122492208077,-0.6315456759833252,0.4339028295643372,94109,Nob Hill,0.8522475152276994,0.32,0.06,0.35
"$1,073.63","$761,750.00","460 Filbert Street #2, San Francisco,  CA 94133",1.0,1,760.0,1957.0,-0.4877817200833321,-0.6984049045561452,-0.3364729513853962,94133,Russian Hill,-0.0814583955973032,-0.17,-0.08,-0.34
"$1,225.91","$765,000.00","1 Daniel Burnham Court #1216, San Francisco,  CA 94109",1.0,1,750.0,1988.0,-0.4865419281641865,-0.7062706961529476,0.3659284959511254,94109,Nob Hill,0.8522475152276994,0.32,0.06,0.35
"$1,564.83","$765,000.00","140 Pennsylvania Avenue #305, San Francisco,  CA 94107",1.0,1,779.0,2017.0,-0.4865419281641865,-0.6834599005222208,1.0230137208788392,94107,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,805.30","$769,000.00","Address Withheld, San Francisco,  CA 94102",1.0,1,573.0,2021.0,-0.4850160304175459,-0.8454952074163493,1.113646165696455,94102,Tenderloin,4.192041734717132,3.79,4.58,4.58
"$1,375.83","$775,000.00","2 Mint Plaza #705, San Francisco,  CA 94103",1.0,1,996.0,1926.0,-0.4827271837975848,-0.5127722228716096,-1.0388743987219178,94103,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,560.83","$775,000.00","140 South Van Ness #729, San Francisco,  CA 94103",2.0,2,1160.0,2002.0,-0.4827271837975848,-0.383773240684051,0.6831420528127804,94103,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,552.83","$779,000.00","401 Harrison Street #4E, San Francisco,  CA 94105",1.0,1,707.0,2014.0,-0.4812012860509442,-0.7400936000191978,0.9550393872656274,94105,South of Market,2.3605416788680884,2.55,2.14,2.51
